Fire Number;Incident Name;Fire Start Date;Initial Report Date;Fire Out Date;Region;Zone;County;Municipality;Cause;NFFL Fuel Model;Complex Type;Acreage;Latitude;Longitude;Ownership;State Land Unit Name;Total;Fatalities;Injuries;Homes Lost;Homes Threatened;Other Structures Lost;Other Structures Threatened;Reporting Ranger;Fire Report Method;Railroad Name;Location 1
NYS-2015-0045;Backer Rd Fire;04/25/2015;04/25/2015;04/26/2015;8;8A;CHEMUNG;CATLIN;Incendiary; 8 - Timber - Light Hardwood Litter;5;7;42.25202;-76.93857;Private Property;;0;0;0;0;0;0;0;Meehan,William X;911 Dispatch;;(42.25202, -76.93857)
NYS-2015-0044;Arden Valley Fire;04/18/2015;04/22/2015;04/21/2015;3;3B;ORANGE;TUXEDO;Campfire;10 - Timber  - Heavy Litter/Downed Fuels;5;39;41.26164;-74.13091;OPR&HP (State Parks);Harriman State Park;0;0;0;0;0;0;0;Parlier,Philip J;Other;N/A;(41.26164, -74.13091)
NYS-2015-0043;Richards Fire;04/18/2015;04/20/2015;04/18/2015;5;5F;WASHINGTON;ARGYLE;Power line; 8 - Timber - Light Hardwood Litter;5;0.1;43.2805;-73.49584;Private Property;;0;0;0;0;0;0;0;Schwab,Werner J;911 Dispatch;;(43.2805, -73.49584)
NYS-2015-0042;Wikiup Fire;04/19/2015;04/19/2015;04/20/2015;8;8A;STEUBEN;ERWIN;Campfire; 8 - Timber - Light Hardwood Litter;4;7;42.1747;-77.14888;Private Property;Erwin WMA;503.97;0;0;0;0;0;0;Carpenter,Timothy J;911 Dispatch;;(42.1747, -77.14888)
NYS-2015-0041;Llama Rd Fire;04/19/2015;04/19/2015;04/21/2015;4;4B;SCHOHARIE;MIDDLEBURGH;Debris Burning;12 - Slash - Medium;4;38.6;42.58669;-74.30254;Private Property;N/A;0;0;0;0;0;0;0;Geesler,Sarah B;911 Dispatch;;(42.58669, -74.30254)
NYS-2015-0040;Anthony Fire;04/19/2015;04/19/2015;04/19/2015;7;7A;CHENANGO;OXFORD;Campfire; 8 - Timber - Light Hardwood Litter;5;1.5;42.36603;-75.63995;Private Property;n/a;0;0;0;0;0;0;0;Oldroyd,Jeremy M;911 Dispatch;n/a;(42.36603, -75.63995)
NYS-2015-0039;Paradise Fire;04/19/2015;04/19/2015;04/20/2015;4;4B;DELAWARE;COLCHESTER;Campfire; 8 - Timber - Light Hardwood Litter;5;2;42.03675;-74.90633;Private Property;Delware Wild Forest;0;0;0;0;0;0;0;Morse,Robert K;911 Dispatch;;(42.03675, -74.90633)
NYS-2015-0038;Harrisville;04/18/2015;04/18/2015;04/19/2015;6;6A;ST LAWRENCE;PITCAIRN;Structure; 1 - Grass - Light;5;1.9;44.19081;-75.30778;Private Property;;0;0;0;0;0;0;0;Thomes,Howard F;Ranger Patrol;;(44.19081, -75.30778)
NYS-2015-0037;West Chenango Fire;04/18/2015;04/18/2015;04/18/2015;7;7A;BROOME;CHENANGO;Power line; 8 - Timber - Light Hardwood Litter;4;2.8;42.19986;-75.95295;Private Property;n/a;0;0;0;0;0;0;0;Oldroyd,Jeremy M;911 Dispatch;n/a;(42.19986, -75.95295)
NYS-2015-0036;French Hill;04/18/2015;04/18/2015;04/18/2015;8;8A;ONTARIO;NAPLES;Power line; 9 - Timber - Medium Hardwood Litter;5;1.5;42.62844;-77.45301;Private Property;;0;0;0;0;0;0;0;Dormer,Patrick G;911 Dispatch;;(42.62844, -77.45301)
NYS-2015-0035;Huguenot FIre;04/18/2015;04/18/2015;04/18/2015;3;3B;ORANGE;DEERPARK;Campfire;10 - Timber  - Heavy Litter/Downed Fuels;5;2;41.36509;-74.67601;Private Property;;0;0;0;0;0;0;0;Sabo,Scott L;DEC Dispatch;;(41.36509, -74.67601)
